image_path,class_name,class_id,sample_id
../Dataset/Wheat varieties dataset/Dilkash/D77/Dilkash (229).jpg,Dilkash,1,D77
../Dataset/Wheat varieties dataset/Dilkash/D77/Dilkash (231).jpg,Dilkash,1,D77
../Dataset/Wheat varieties dataset/Dilkash/D77/Dilkash (230).jpg,Dilkash,1,D77
../Dataset/Wheat varieties dataset/Dilkash/D48/Dilkash (143).jpg,Dilkash,1,D48
../Dataset/Wheat varieties dataset/Dilkash/D48/Dilkash (142).jpg,Dilkash,1,D48
../Dataset/Wheat varieties dataset/Dilkash/D48/Dilkash (144).jpg,Dilkash,1,D48
../Dataset/Wheat varieties dataset/Dilkash/D41/Dilkash (121).jpg,Dilkash,1,D41
../Dataset/Wheat varieties dataset/Dilkash/D41/Dilkash (122).jpg,Dilkash,1,D41
../Dataset/Wheat varieties dataset/Dilkash/D41/Dilkash (123).jpg,Dilkash,1,D41
../Dataset/Wheat varieties dataset/Dilkash/D46/Dilkash (136).jpg,Dilkash,1,D46
../Dataset/Wheat varieties dataset/Dilkash/D46/Dilkash (137).jpg,Dilkash,1,D46
../Dataset/Wheat varieties dataset/Dilkash/D46/Dilkash (138).jpg,Dilkash,1,D46
../Dataset/Wheat varieties dataset/Dilkash/D79/Dilkash (235).jpg,Dilkash,1,D79
../Dataset/Wheat varieties dataset/Dilkash/D79/Dilkash (237).jpg,Dilkash,1,D79
../Dataset/Wheat varieties dataset/Dilkash/D79/Dilkash (236).jpg,Dilkash,1,D79
../Dataset/Wheat varieties dataset/Dilkash/D25/Dilkash (73).jpg,Dilkash,1,D25
../Dataset/Wheat varieties dataset/Dilkash/D25/Dilkash (75).jpg,Dilkash,1,D25
../Dataset/Wheat varieties dataset/Dilkash/D25/Dilkash (74).jpg,Dilkash,1,D25
../Dataset/Wheat varieties dataset/Dilkash/D102/Dilkash (306).jpg,Dilkash,1,D102
../Dataset/Wheat varieties dataset/Dilkash/D102/Dilkash (305).jpg,Dilkash,1,D102
../Dataset/Wheat varieties dataset/Dilkash/D102/Dilkash (304).jpg,Dilkash,1,D102
../Dataset/Wheat varieties dataset/Dilkash/D105/Dilkash (315).jpg,Dilkash,1,D105
../Dataset/Wheat varieties dataset/Dilkash/D105/Dilkash (314).jpg,Dilkash,1,D105
../Dataset/Wheat varieties dataset/Dilkash/D105/Dilkash (313).jpg,Dilkash,1,D105
../Dataset/Wheat varieties dataset/Dilkash/D22/Dilkash (66).jpg,Dilkash,1,D22
../Dataset/Wheat varieties dataset/Dilkash/D22/Dilkash (65).jpg,Dilkash,1,D22
../Dataset/Wheat varieties dataset/Dilkash/D22/Dilkash (64).jpg,Dilkash,1,D22
../Dataset/Wheat varieties dataset/Dilkash/D14/Dilkash (41).jpg,Dilkash,1,D14
../Dataset/Wheat varieties dataset/Dilkash/D14/Dilkash (40).jpg,Dilkash,1,D14
../Dataset/Wheat varieties dataset/Dilkash/D14/Dilkash (42).jpg,Dilkash,1,D14
../Dataset/Wheat varieties dataset/Dilkash/D13/Dilkash (37).jpg,Dilkash,1,D13
../Dataset/Wheat varieties dataset/Dilkash/D13/Dilkash (38).jpg,Dilkash,1,D13
../Dataset/Wheat varieties dataset/Dilkash/D13/Dilkash (39).jpg,Dilkash,1,D13
../Dataset/Wheat varieties dataset/Dilkash/D47/Dilkash (141).jpg,Dilkash,1,D47
../Dataset/Wheat varieties dataset/Dilkash/D47/Dilkash (140).jpg,Dilkash,1,D47
../Dataset/Wheat varieties dataset/Dilkash/D47/Dilkash (139).jpg,Dilkash,1,D47
../Dataset/Wheat varieties dataset/Dilkash/D78/Dilkash (234).jpg,Dilkash,1,D78
../Dataset/Wheat varieties dataset/Dilkash/D78/Dilkash (233).jpg,Dilkash,1,D78
../Dataset/Wheat varieties dataset/Dilkash/D78/Dilkash (232).jpg,Dilkash,1,D78
../Dataset/Wheat varieties dataset/Dilkash/D40/Dilkash (120).jpg,Dilkash,1,D40
../Dataset/Wheat varieties dataset/Dilkash/D40/Dilkash (118).jpg,Dilkash,1,D40
../Dataset/Wheat varieties dataset/Dilkash/D40/Dilkash (119).jpg,Dilkash,1,D40
../Dataset/Wheat varieties dataset/Dilkash/D76/Dilkash (228).jpg,Dilkash,1,D76
../Dataset/Wheat varieties dataset/Dilkash/D76/Dilkash (227).jpg,Dilkash,1,D76
../Dataset/Wheat varieties dataset/Dilkash/D76/Dilkash (226).jpg,Dilkash,1,D76
../Dataset/Wheat varieties dataset/Dilkash/D82/Dilkash (244).jpg,Dilkash,1,D82
../Dataset/Wheat varieties dataset/Dilkash/D82/Dilkash (245).jpg,Dilkash,1,D82
../Dataset/Wheat varieties dataset/Dilkash/D82/Dilkash (246).jpg,Dilkash,1,D82
../Dataset/Wheat varieties dataset/Dilkash/D49/Dilkash (147).jpg,Dilkash,1,D49
../Dataset/Wheat varieties dataset/Dilkash/D49/Dilkash (146).jpg,Dilkash,1,D49
../Dataset/Wheat varieties dataset/Dilkash/D49/Dilkash (145).jpg,Dilkash,1,D49
../Dataset/Wheat varieties dataset/Dilkash/D85/Dilkash (254).jpg,Dilkash,1,D85
../Dataset/Wheat varieties dataset/Dilkash/D85/Dilkash (255).jpg,Dilkash,1,D85
../Dataset/Wheat varieties dataset/Dilkash/D85/Dilkash (253).jpg,Dilkash,1,D85
../Dataset/Wheat varieties dataset/Dilkash/D71/Dilkash (213).jpg,Dilkash,1,D71
../Dataset/Wheat varieties dataset/Dilkash/D71/Dilkash (212).jpg,Dilkash,1,D71
../Dataset/Wheat varieties dataset/Dilkash/D71/Dilkash (211).jpg,Dilkash,1,D71
../Dataset/Wheat varieties dataset/Dilkash/D9/Dilkash (26).jpg,Dilkash,1,D9
../Dataset/Wheat varieties dataset/Dilkash/D9/Dilkash (27).jpg,Dilkash,1,D9
../Dataset/Wheat varieties dataset/Dilkash/D9/Dilkash (25).jpg,Dilkash,1,D9
../Dataset/Wheat varieties dataset/Dilkash/D7/Dilkash (20).jpg,Dilkash,1,D7
../Dataset/Wheat varieties dataset/Dilkash/D7/Dilkash (21).jpg,Dilkash,1,D7
../Dataset/Wheat varieties dataset/Dilkash/D7/Dilkash (19).jpg,Dilkash,1,D7
../Dataset/Wheat varieties dataset/Dilkash/D1/Dilkash (1).jpg,Dilkash,1,D1
../Dataset/Wheat varieties dataset/Dilkash/D1/Dilkash (2).jpg,Dilkash,1,D1
../Dataset/Wheat varieties dataset/Dilkash/D1/Dilkash (3).jpg,Dilkash,1,D1
../Dataset/Wheat varieties dataset/Dilkash/D6/Dilkash (16).jpg,Dilkash,1,D6
../Dataset/Wheat varieties dataset/Dilkash/D6/Dilkash (17).jpg,Dilkash,1,D6
../Dataset/Wheat varieties dataset/Dilkash/D6/Dilkash (18).jpg,Dilkash,1,D6
../Dataset/Wheat varieties dataset/Dilkash/D8/Dilkash (24).jpg,Dilkash,1,D8
../Dataset/Wheat varieties dataset/Dilkash/D8/Dilkash (22).jpg,Dilkash,1,D8
../Dataset/Wheat varieties dataset/Dilkash/D8/Dilkash (23).jpg,Dilkash,1,D8
../Dataset/Wheat varieties dataset/Dilkash/D98/Dilkash (293).jpg,Dilkash,1,D98
../Dataset/Wheat varieties dataset/Dilkash/D98/Dilkash (292).jpg,Dilkash,1,D98
../Dataset/Wheat varieties dataset/Dilkash/D98/Dilkash (294).jpg,Dilkash,1,D98
../Dataset/Wheat varieties dataset/Dilkash/D53/Dilkash (157).jpg,Dilkash,1,D53
../Dataset/Wheat varieties dataset/Dilkash/D53/Dilkash (159).jpg,Dilkash,1,D53
../Dataset/Wheat varieties dataset/Dilkash/D53/Dilkash (158).jpg,Dilkash,1,D53
../Dataset/Wheat varieties dataset/Dilkash/D54/Dilkash (161).jpg,Dilkash,1,D54
../Dataset/Wheat varieties dataset/Dilkash/D54/Dilkash (160).jpg,Dilkash,1,D54
../Dataset/Wheat varieties dataset/Dilkash/D54/Dilkash (162).jpg,Dilkash,1,D54
../Dataset/Wheat varieties dataset/Dilkash/D62/Dilkash (184).jpg,Dilkash,1,D62
../Dataset/Wheat varieties dataset/Dilkash/D62/Dilkash (185).jpg,Dilkash,1,D62
../Dataset/Wheat varieties dataset/Dilkash/D62/Dilkash (186).jpg,Dilkash,1,D62
../Dataset/Wheat varieties dataset/Dilkash/D96/Dilkash (287).jpg,Dilkash,1,D96
../Dataset/Wheat varieties dataset/Dilkash/D96/Dilkash (286).jpg,Dilkash,1,D96
../Dataset/Wheat varieties dataset/Dilkash/D96/Dilkash (288).jpg,Dilkash,1,D96
../Dataset/Wheat varieties dataset/Dilkash/D91/Dilkash (272).jpg,Dilkash,1,D91
../Dataset/Wheat varieties dataset/Dilkash/D91/Dilkash (273).jpg,Dilkash,1,D91
../Dataset/Wheat varieties dataset/Dilkash/D91/Dilkash (271).jpg,Dilkash,1,D91
../Dataset/Wheat varieties dataset/Dilkash/D65/Dilkash (193).jpg,Dilkash,1,D65
../Dataset/Wheat varieties dataset/Dilkash/D65/Dilkash (194).jpg,Dilkash,1,D65
../Dataset/Wheat varieties dataset/Dilkash/D65/Dilkash (195).jpg,Dilkash,1,D65
../Dataset/Wheat varieties dataset/Dilkash/D116/Dilkash (346).jpg,Dilkash,1,D116
../Dataset/Wheat varieties dataset/Dilkash/D116/Dilkash (347).jpg,Dilkash,1,D116
../Dataset/Wheat varieties dataset/Dilkash/D116/Dilkash (348).jpg,Dilkash,1,D116
../Dataset/Wheat varieties dataset/Dilkash/D31/Dilkash (92).jpg,Dilkash,1,D31
../Dataset/Wheat varieties dataset/Dilkash/D31/Dilkash (93).jpg,Dilkash,1,D31
../Dataset/Wheat varieties dataset/Dilkash/D31/Dilkash (91).jpg,Dilkash,1,D31
../Dataset/Wheat varieties dataset/Dilkash/D36/Dilkash (106).jpg,Dilkash,1,D36
../Dataset/Wheat varieties dataset/Dilkash/D36/Dilkash (107).jpg,Dilkash,1,D36
../Dataset/Wheat varieties dataset/Dilkash/D36/Dilkash (108).jpg,Dilkash,1,D36
../Dataset/Wheat varieties dataset/Dilkash/D111/Dilkash (331).jpg,Dilkash,1,D111
../Dataset/Wheat varieties dataset/Dilkash/D111/Dilkash (333).jpg,Dilkash,1,D111
../Dataset/Wheat varieties dataset/Dilkash/D111/Dilkash (332).jpg,Dilkash,1,D111
../Dataset/Wheat varieties dataset/Dilkash/D118/Dilkash (354).jpg,Dilkash,1,D118
../Dataset/Wheat varieties dataset/Dilkash/D118/Dilkash (352).jpg,Dilkash,1,D118
../Dataset/Wheat varieties dataset/Dilkash/D118/Dilkash (353).jpg,Dilkash,1,D118
../Dataset/Wheat varieties dataset/Dilkash/D120/Dilkash (360).jpg,Dilkash,1,D120
../Dataset/Wheat varieties dataset/Dilkash/D120/Dilkash (358).jpg,Dilkash,1,D120
../Dataset/Wheat varieties dataset/Dilkash/D120/Dilkash (359).jpg,Dilkash,1,D120
../Dataset/Wheat varieties dataset/Dilkash/D38/Dilkash (114).jpg,Dilkash,1,D38
../Dataset/Wheat varieties dataset/Dilkash/D38/Dilkash (112).jpg,Dilkash,1,D38
../Dataset/Wheat varieties dataset/Dilkash/D38/Dilkash (113).jpg,Dilkash,1,D38
../Dataset/Wheat varieties dataset/Dilkash/D64/Dilkash (192).jpg,Dilkash,1,D64
../Dataset/Wheat varieties dataset/Dilkash/D64/Dilkash (190).jpg,Dilkash,1,D64
../Dataset/Wheat varieties dataset/Dilkash/D64/Dilkash (191).jpg,Dilkash,1,D64
../Dataset/Wheat varieties dataset/Dilkash/D90/Dilkash (268).jpg,Dilkash,1,D90
../Dataset/Wheat varieties dataset/Dilkash/D90/Dilkash (269).jpg,Dilkash,1,D90
../Dataset/Wheat varieties dataset/Dilkash/D90/Dilkash (270).jpg,Dilkash,1,D90
../Dataset/Wheat varieties dataset/Dilkash/D97/Dilkash (291).jpg,Dilkash,1,D97
../Dataset/Wheat varieties dataset/Dilkash/D97/Dilkash (290).jpg,Dilkash,1,D97
../Dataset/Wheat varieties dataset/Dilkash/D97/Dilkash (289).jpg,Dilkash,1,D97
../Dataset/Wheat varieties dataset/Dilkash/D63/Dilkash (188).jpg,Dilkash,1,D63
../Dataset/Wheat varieties dataset/Dilkash/D63/Dilkash (189).jpg,Dilkash,1,D63
../Dataset/Wheat varieties dataset/Dilkash/D63/Dilkash (187).jpg,Dilkash,1,D63
../Dataset/Wheat varieties dataset/Dilkash/D55/Dilkash (163).jpg,Dilkash,1,D55
../Dataset/Wheat varieties dataset/Dilkash/D55/Dilkash (165).jpg,Dilkash,1,D55
../Dataset/Wheat varieties dataset/Dilkash/D55/Dilkash (164).jpg,Dilkash,1,D55
../Dataset/Wheat varieties dataset/Dilkash/D99/Dilkash (297).jpg,Dilkash,1,D99
../Dataset/Wheat varieties dataset/Dilkash/D99/Dilkash (296).jpg,Dilkash,1,D99
../Dataset/Wheat varieties dataset/Dilkash/D99/Dilkash (295).jpg,Dilkash,1,D99
../Dataset/Wheat varieties dataset/Dilkash/D52/Dilkash (156).jpg,Dilkash,1,D52
../Dataset/Wheat varieties dataset/Dilkash/D52/Dilkash (155).jpg,Dilkash,1,D52
../Dataset/Wheat varieties dataset/Dilkash/D52/Dilkash (154).jpg,Dilkash,1,D52
../Dataset/Wheat varieties dataset/Dilkash/D121/Dilkash (361).jpg,Dilkash,1,D121
../Dataset/Wheat varieties dataset/Dilkash/D121/Dilkash (362).jpg,Dilkash,1,D121
../Dataset/Wheat varieties dataset/Dilkash/D121/Dilkash (363).jpg,Dilkash,1,D121
../Dataset/Wheat varieties dataset/Dilkash/D39/Dilkash (116).jpg,Dilkash,1,D39
../Dataset/Wheat varieties dataset/Dilkash/D39/Dilkash (117).jpg,Dilkash,1,D39
../Dataset/Wheat varieties dataset/Dilkash/D39/Dilkash (115).jpg,Dilkash,1,D39
../Dataset/Wheat varieties dataset/Dilkash/D119/Dilkash (356).jpg,Dilkash,1,D119
../Dataset/Wheat varieties dataset/Dilkash/D119/Dilkash (357).jpg,Dilkash,1,D119
../Dataset/Wheat varieties dataset/Dilkash/D119/Dilkash (355).jpg,Dilkash,1,D119
../Dataset/Wheat varieties dataset/Dilkash/D110/Dilkash (330).jpg,Dilkash,1,D110
../Dataset/Wheat varieties dataset/Dilkash/D110/Dilkash (329).jpg,Dilkash,1,D110
../Dataset/Wheat varieties dataset/Dilkash/D110/Dilkash (328).jpg,Dilkash,1,D110
../Dataset/Wheat varieties dataset/Dilkash/D37/Dilkash (110).jpg,Dilkash,1,D37
../Dataset/Wheat varieties dataset/Dilkash/D37/Dilkash (111).jpg,Dilkash,1,D37
../Dataset/Wheat varieties dataset/Dilkash/D37/Dilkash (109).jpg,Dilkash,1,D37
../Dataset/Wheat varieties dataset/Dilkash/D30/Dilkash (88).jpg,Dilkash,1,D30
../Dataset/Wheat varieties dataset/Dilkash/D30/Dilkash (89).jpg,Dilkash,1,D30
../Dataset/Wheat varieties dataset/Dilkash/D30/Dilkash (90).jpg,Dilkash,1,D30
../Dataset/Wheat varieties dataset/Dilkash/D117/Dilkash (350).jpg,Dilkash,1,D117
../Dataset/Wheat varieties dataset/Dilkash/D117/Dilkash (351).jpg,Dilkash,1,D117
../Dataset/Wheat varieties dataset/Dilkash/D117/Dilkash (349).jpg,Dilkash,1,D117
../Dataset/Wheat varieties dataset/Dilkash/D80/Dilkash (239).jpg,Dilkash,1,D80
../Dataset/Wheat varieties dataset/Dilkash/D80/Dilkash (238).jpg,Dilkash,1,D80
../Dataset/Wheat varieties dataset/Dilkash/D80/Dilkash (240).jpg,Dilkash,1,D80
../Dataset/Wheat varieties dataset/Dilkash/D74/Dilkash (222).jpg,Dilkash,1,D74
../Dataset/Wheat varieties dataset/Dilkash/D74/Dilkash (221).jpg,Dilkash,1,D74
../Dataset/Wheat varieties dataset/Dilkash/D74/Dilkash (220).jpg,Dilkash,1,D74
../Dataset/Wheat varieties dataset/Dilkash/D73/Dilkash (219).jpg,Dilkash,1,D73
../Dataset/Wheat varieties dataset/Dilkash/D73/Dilkash (218).jpg,Dilkash,1,D73
../Dataset/Wheat varieties dataset/Dilkash/D73/Dilkash (217).jpg,Dilkash,1,D73
../Dataset/Wheat varieties dataset/Dilkash/D87/Dilkash (259).jpg,Dilkash,1,D87
../Dataset/Wheat varieties dataset/Dilkash/D87/Dilkash (260).jpg,Dilkash,1,D87
../Dataset/Wheat varieties dataset/Dilkash/D87/Dilkash (261).jpg,Dilkash,1,D87
../Dataset/Wheat varieties dataset/Dilkash/D45/Dilkash (134).jpg,Dilkash,1,D45
../Dataset/Wheat varieties dataset/Dilkash/D45/Dilkash (135).jpg,Dilkash,1,D45
../Dataset/Wheat varieties dataset/Dilkash/D45/Dilkash (133).jpg,Dilkash,1,D45
../Dataset/Wheat varieties dataset/Dilkash/D42/Dilkash (126).jpg,Dilkash,1,D42
../Dataset/Wheat varieties dataset/Dilkash/D42/Dilkash (124).jpg,Dilkash,1,D42
../Dataset/Wheat varieties dataset/Dilkash/D42/Dilkash (125).jpg,Dilkash,1,D42
../Dataset/Wheat varieties dataset/Dilkash/D89/Dilkash (265).jpg,Dilkash,1,D89
../Dataset/Wheat varieties dataset/Dilkash/D89/Dilkash (266).jpg,Dilkash,1,D89
../Dataset/Wheat varieties dataset/Dilkash/D89/Dilkash (267).jpg,Dilkash,1,D89
../Dataset/Wheat varieties dataset/Dilkash/D29/Dilkash (85).jpg,Dilkash,1,D29
../Dataset/Wheat varieties dataset/Dilkash/D29/Dilkash (86).jpg,Dilkash,1,D29
../Dataset/Wheat varieties dataset/Dilkash/D29/Dilkash (87).jpg,Dilkash,1,D29
../Dataset/Wheat varieties dataset/Dilkash/D16/Dilkash (47).jpg,Dilkash,1,D16
../Dataset/Wheat varieties dataset/Dilkash/D16/Dilkash (46).jpg,Dilkash,1,D16
../Dataset/Wheat varieties dataset/Dilkash/D16/Dilkash (48).jpg,Dilkash,1,D16
../Dataset/Wheat varieties dataset/Dilkash/D109/Dilkash (327).jpg,Dilkash,1,D109
../Dataset/Wheat varieties dataset/Dilkash/D109/Dilkash (326).jpg,Dilkash,1,D109
../Dataset/Wheat varieties dataset/Dilkash/D109/Dilkash (325).jpg,Dilkash,1,D109
../Dataset/Wheat varieties dataset/Dilkash/D11/Dilkash (31).jpg,Dilkash,1,D11
../Dataset/Wheat varieties dataset/Dilkash/D11/Dilkash (32).jpg,Dilkash,1,D11
../Dataset/Wheat varieties dataset/Dilkash/D11/Dilkash (33).jpg,Dilkash,1,D11
../Dataset/Wheat varieties dataset/Dilkash/D18/Dilkash (53).jpg,Dilkash,1,D18
../Dataset/Wheat varieties dataset/Dilkash/D18/Dilkash (52).jpg,Dilkash,1,D18
../Dataset/Wheat varieties dataset/Dilkash/D18/Dilkash (54).jpg,Dilkash,1,D18
../Dataset/Wheat varieties dataset/Dilkash/D27/Dilkash (80).jpg,Dilkash,1,D27
../Dataset/Wheat varieties dataset/Dilkash/D27/Dilkash (79).jpg,Dilkash,1,D27
../Dataset/Wheat varieties dataset/Dilkash/D27/Dilkash (81).jpg,Dilkash,1,D27
../Dataset/Wheat varieties dataset/Dilkash/D100/Dilkash (300).jpg,Dilkash,1,D100
../Dataset/Wheat varieties dataset/Dilkash/D100/Dilkash (299).jpg,Dilkash,1,D100
../Dataset/Wheat varieties dataset/Dilkash/D100/Dilkash (298).jpg,Dilkash,1,D100
../Dataset/Wheat varieties dataset/Dilkash/D107/Dilkash (321).jpg,Dilkash,1,D107
../Dataset/Wheat varieties dataset/Dilkash/D107/Dilkash (320).jpg,Dilkash,1,D107
../Dataset/Wheat varieties dataset/Dilkash/D107/Dilkash (319).jpg,Dilkash,1,D107
../Dataset/Wheat varieties dataset/Dilkash/D20/Dilkash (60).jpg,Dilkash,1,D20
../Dataset/Wheat varieties dataset/Dilkash/D20/Dilkash (59).jpg,Dilkash,1,D20
../Dataset/Wheat varieties dataset/Dilkash/D20/Dilkash (58).jpg,Dilkash,1,D20
../Dataset/Wheat varieties dataset/Dilkash/D43/Dilkash (127).jpg,Dilkash,1,D43
../Dataset/Wheat varieties dataset/Dilkash/D43/Dilkash (128).jpg,Dilkash,1,D43
../Dataset/Wheat varieties dataset/Dilkash/D43/Dilkash (129).jpg,Dilkash,1,D43
../Dataset/Wheat varieties dataset/Dilkash/D88/Dilkash (262).jpg,Dilkash,1,D88
../Dataset/Wheat varieties dataset/Dilkash/D88/Dilkash (263).jpg,Dilkash,1,D88
../Dataset/Wheat varieties dataset/Dilkash/D88/Dilkash (264).jpg,Dilkash,1,D88
../Dataset/Wheat varieties dataset/Dilkash/D44/Dilkash (130).jpg,Dilkash,1,D44
../Dataset/Wheat varieties dataset/Dilkash/D44/Dilkash (131).jpg,Dilkash,1,D44
../Dataset/Wheat varieties dataset/Dilkash/D44/Dilkash (132).jpg,Dilkash,1,D44
../Dataset/Wheat varieties dataset/Dilkash/D86/Dilkash (258).jpg,Dilkash,1,D86
../Dataset/Wheat varieties dataset/Dilkash/D86/Dilkash (256).jpg,Dilkash,1,D86
../Dataset/Wheat varieties dataset/Dilkash/D86/Dilkash (257).jpg,Dilkash,1,D86
../Dataset/Wheat varieties dataset/Dilkash/D72/Dilkash (215).jpg,Dilkash,1,D72
../Dataset/Wheat varieties dataset/Dilkash/D72/Dilkash (214).jpg,Dilkash,1,D72
../Dataset/Wheat varieties dataset/Dilkash/D72/Dilkash (216).jpg,Dilkash,1,D72
../Dataset/Wheat varieties dataset/Dilkash/D75/Dilkash (223).jpg,Dilkash,1,D75
../Dataset/Wheat varieties dataset/Dilkash/D75/Dilkash (225).jpg,Dilkash,1,D75
../Dataset/Wheat varieties dataset/Dilkash/D75/Dilkash (224).jpg,Dilkash,1,D75
../Dataset/Wheat varieties dataset/Dilkash/D81/Dilkash (242).jpg,Dilkash,1,D81
../Dataset/Wheat varieties dataset/Dilkash/D81/Dilkash (243).jpg,Dilkash,1,D81
../Dataset/Wheat varieties dataset/Dilkash/D81/Dilkash (241).jpg,Dilkash,1,D81
../Dataset/Wheat varieties dataset/Dilkash/D21/Dilkash (61).jpg,Dilkash,1,D21
../Dataset/Wheat varieties dataset/Dilkash/D21/Dilkash (63).jpg,Dilkash,1,D21
../Dataset/Wheat varieties dataset/Dilkash/D21/Dilkash (62).jpg,Dilkash,1,D21
../Dataset/Wheat varieties dataset/Dilkash/D106/Dilkash (317).jpg,Dilkash,1,D106
../Dataset/Wheat varieties dataset/Dilkash/D106/Dilkash (316).jpg,Dilkash,1,D106
../Dataset/Wheat varieties dataset/Dilkash/D106/Dilkash (318).jpg,Dilkash,1,D106
../Dataset/Wheat varieties dataset/Dilkash/D19/Dilkash (57).jpg,Dilkash,1,D19
../Dataset/Wheat varieties dataset/Dilkash/D19/Dilkash (56).jpg,Dilkash,1,D19
../Dataset/Wheat varieties dataset/Dilkash/D19/Dilkash (55).jpg,Dilkash,1,D19
../Dataset/Wheat varieties dataset/Dilkash/D101/Dilkash (301).jpg,Dilkash,1,D101
../Dataset/Wheat varieties dataset/Dilkash/D101/Dilkash (303).jpg,Dilkash,1,D101
../Dataset/Wheat varieties dataset/Dilkash/D101/Dilkash (302).jpg,Dilkash,1,D101
../Dataset/Wheat varieties dataset/Dilkash/D26/Dilkash (77).jpg,Dilkash,1,D26
../Dataset/Wheat varieties dataset/Dilkash/D26/Dilkash (76).jpg,Dilkash,1,D26
../Dataset/Wheat varieties dataset/Dilkash/D26/Dilkash (78).jpg,Dilkash,1,D26
../Dataset/Wheat varieties dataset/Dilkash/D108/Dilkash (323).jpg,Dilkash,1,D108
../Dataset/Wheat varieties dataset/Dilkash/D108/Dilkash (322).jpg,Dilkash,1,D108
../Dataset/Wheat varieties dataset/Dilkash/D108/Dilkash (324).jpg,Dilkash,1,D108
../Dataset/Wheat varieties dataset/Dilkash/D10/Dilkash (30).jpg,Dilkash,1,D10
../Dataset/Wheat varieties dataset/Dilkash/D10/Dilkash (28).jpg,Dilkash,1,D10
../Dataset/Wheat varieties dataset/Dilkash/D10/Dilkash (29).jpg,Dilkash,1,D10
../Dataset/Wheat varieties dataset/Dilkash/D28/Dilkash (82).jpg,Dilkash,1,D28
../Dataset/Wheat varieties dataset/Dilkash/D28/Dilkash (83).jpg,Dilkash,1,D28
../Dataset/Wheat varieties dataset/Dilkash/D28/Dilkash (84).jpg,Dilkash,1,D28
../Dataset/Wheat varieties dataset/Dilkash/D17/Dilkash (51).jpg,Dilkash,1,D17
../Dataset/Wheat varieties dataset/Dilkash/D17/Dilkash (50).jpg,Dilkash,1,D17
../Dataset/Wheat varieties dataset/Dilkash/D17/Dilkash (49).jpg,Dilkash,1,D17
../Dataset/Wheat varieties dataset/Dilkash/D3/Dilkash (7).jpg,Dilkash,1,D3
../Dataset/Wheat varieties dataset/Dilkash/D3/Dilkash (8).jpg,Dilkash,1,D3
../Dataset/Wheat varieties dataset/Dilkash/D3/Dilkash (9).jpg,Dilkash,1,D3
../Dataset/Wheat varieties dataset/Dilkash/D4/Dilkash (10).jpg,Dilkash,1,D4
../Dataset/Wheat varieties dataset/Dilkash/D4/Dilkash (11).jpg,Dilkash,1,D4
../Dataset/Wheat varieties dataset/Dilkash/D4/Dilkash (12).jpg,Dilkash,1,D4
